=== MACD_ZERO_AXIS 策略筛选报告 ===
扫描时间: 2025-08-12 12:10:16
处理文件数: 8968
处理耗时: 1.87 秒
发现信号数: 376
历史信号总数: 2463
平均胜率: 43.3%
平均收益率: 20.1%
平均达峰天数: 17.6 天

=== 信号状态分布 ===
PRE: 123 个
MID: 126 个
POST: 127 个

=== 前10名表现最佳股票 ===
 1. sz300521 - 胜率: 100.0%, 收益: 99.5%, 天数: 18.0 天
 2. sz000652 - 胜率: 50.0%, 收益: 62.6%, 天数: 16.0 天
 3. sz002141 - 胜率: 66.7%, 收益: 54.4%, 天数: 21.2 天
 4. sz300546 - 胜率: 20.0%, 收益: 51.2%, 天数: 28.0 天
 5. sh688496 - 胜率: 66.7%, 收益: 51.1%, 天数: 16.5 天
 6. sz002580 - 胜率: 50.0%, 收益: 47.6%, 天数: 23.5 天
 7. sz002654 - 胜率: 42.9%, 收益: 47.3%, 天数: 17.3 天
 8. sh603799 - 胜率: 66.7%, 收益: 46.2%, 天数: 31.0 天
 9. sh600169 - 胜率: 100.0%, 收益: 45.6%, 天数: 15.0 天
10. sh603527 - 胜率: 83.3%, 收益: 45.4%, 天数: 16.6 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 376/376
sh600331: 81.9分, ¥10.51, 信心度: 81.9%
sh603191: 81.5分, ¥15.13, 信心度: 81.5%
sh603002: 81.2分, ¥7.19, 信心度: 81.2%
sh603176: 73.6分, ¥7.33, 信心度: 73.6%
sh601588: 82.1分, ¥1.88, 信心度: 82.1%
sh603565: 80.7分, ¥10.43, 信心度: 80.7%
sh688179: 70.5分, ¥15.54, 信心度: 70.5%
sh600219: 82.5分, ¥4.11, 信心度: 82.5%
sh600382: 81.8分, ¥5.76, 信心度: 81.8%
sh688236: 77.2分, ¥23.99, 信心度: 77.2%
sh600362: 82.1分, ¥24.02, 信心度: 82.1%
sh600593: 75.9分, ¥32.38, 信心度: 75.9%
sz300151: 71.1分, ¥14.17, 信心度: 71.1%
sh600053: 74.3分, ¥17.88, 信心度: 74.3%
sh600246: 75.2分, ¥8.39, 信心度: 75.2%
sh688033: 70.1分, ¥7.13, 信心度: 70.1%
sh603126: 82.3分, ¥7.34, 信心度: 82.3%
sh600853: 82.4分, ¥4.02, 信心度: 82.4%
sh600881: 81.3分, ¥1.91, 信心度: 81.3%
sh600503: 82.3分, ¥2.89, 信心度: 82.3%
sh603218: 78.9分, ¥13.13, 信心度: 78.9%
sh603600: 82.1分, ¥11.29, 信心度: 82.1%
sh600089: 81.8分, ¥13.89, 信心度: 81.8%
sz300789: 73.6分, ¥33.10, 信心度: 73.6%
sz300113: 73.9分, ¥21.08, 信心度: 73.9%
sh603113: 81.0分, ¥8.04, 信心度: 81.0%
sh601778: 78.9分, ¥3.30, 信心度: 78.9%
sh600888: 81.7分, ¥7.48, 信心度: 81.7%
sh603527: 81.1分, ¥11.79, 信心度: 81.1%
sh600581: 82.4分, ¥4.66, 信心度: 82.4%
sh600802: 81.3分, ¥5.62, 信心度: 81.3%
sh600397: 76.6分, ¥6.45, 信心度: 76.6%
sz000688: 82.7分, ¥14.41, 信心度: 82.7%
sz002460: 71.3分, ¥40.51, 信心度: 71.3%
sz300603: 74.2分, ¥12.49, 信心度: 74.2%
sz000670: 74.3分, ¥8.16, 信心度: 74.3%
sz000068: 82.1分, ¥3.56, 信心度: 82.1%
sh600649: 81.3分, ¥4.60, 信心度: 81.3%
sz300127: 74.0分, ¥30.61, 信心度: 74.0%
sz300433: 81.6分, ¥24.26, 信心度: 81.6%
sh600075: 82.5分, ¥4.74, 信心度: 82.5%
