trade_idx,stock_code,t0_date,entry_price,day_idx,date,code,type,severity,day_high,day_low,day_close,current_stop,pnl_at_signal,level
485,bj920060,2025-07-21 00:00:00,40.087232761216505,1,2025-07-24,D4,danger,exit,40.87518819632641,36.43308943089431,36.94526046371575,36.88025414031919,-0.07837837837837847,
486,bj920682,2025-07-22 00:00:00,8.716517022072578,1,2025-07-30,D4,danger,exit,8.781687242798355,8.472128694350918,8.521006359895251,8.019195660306773,-0.02242990654205579,
487,bj920184,2025-07-24 00:00:00,21.64083188908145,2,2025-07-30,D4,danger,exit,22.186065857885616,20.827937608318894,20.90724436741768,19.909565337954938,-0.03389830508474545,
490,sz300706,2025-07-28 00:00:00,36.0,2,2025-08-01,D4,danger,exit,36.79,33.54,33.71,33.21394875125456,-0.06361111111111106,
491,bj920786,2025-07-29 00:00:00,12.24,2,2025-08-01,D4,danger,exit,11.98,11.15,11.16,11.2608,-0.08823529411764708,
492,bj920786,2025-07-30 00:00:00,10.96,3,2025-08-08,E1,exhaustion,reduce,11.06,10.71,10.86,10.0832,-0.009124087591241059,
493,bj920873,2025-07-30 00:00:00,8.6,4,2025-08-12,D2,danger,exit,8.88,8.51,8.53,7.912,-0.008139534883720989,
494,bj920885,2025-07-31 00:00:00,26.5,5,2025-08-11,S2,strength,,26.6,24.65,25.85,24.380000000000003,-0.024528301886792447,moderate
495,bj920786,2025-07-31 00:00:00,10.96,3,2025-08-08,E1,exhaustion,reduce,11.06,10.71,10.86,10.0832,-0.009124087591241059,
496,sh600326,2025-07-31 00:00:00,16.4,5,2025-08-15,D5,danger,reduce,16.37,14.81,16.02,15.088,-0.023170731707316983,
496,sh600326,2025-07-31 00:00:00,16.4,5,2025-08-15,E1,exhaustion,reduce,16.37,14.81,16.02,16.02,-0.023170731707316983,
497,sh603716,2025-08-01 00:00:00,27.59,6,2025-08-18,S2,strength,,30.51,27.8,29.87,25.3828,0.08263863718738684,moderate
498,sh600326,2025-08-01 00:00:00,16.4,5,2025-08-15,D5,danger,reduce,16.37,14.81,16.02,15.088,-0.023170731707316983,
498,sh600326,2025-08-01 00:00:00,16.4,5,2025-08-15,E1,exhaustion,reduce,16.37,14.81,16.02,16.02,-0.023170731707316983,
499,sz300950,2025-08-01 00:00:00,31.27886178861789,1,2025-08-07,D4,danger,exit,31.466930894308945,29.42786585365854,29.54664634146342,28.77655284552846,-0.055379746835443,
501,sz300732,2025-08-05 00:00:00,11.81,1,2025-08-12,D4,danger,exit,12.07,11.35,11.37,10.865200000000002,-0.037256562235393864,
502,sz301038,2025-08-05 00:00:00,35.1,6,2025-08-18,D5,danger,reduce,37.78,36.03,36.15,32.292,0.029914529914529808,
502,sz301038,2025-08-05 00:00:00,35.1,6,2025-08-18,E1,exhaustion,reduce,37.78,36.03,36.15,36.15,0.029914529914529808,
504,bj920663,2025-08-06 00:00:00,24.063748872226864,1,2025-08-14,D4,danger,exit,24.063748872226864,22.632304003621726,22.86443019853067,22.13864896244872,-0.04983922829581988,
505,bj920305,2025-08-06 00:00:00,17.31,1,2025-08-13,E1,exhaustion,reduce,18.05,16.7,17.34,15.9252,0.0017331022530329143,
507,bj920663,2025-08-07 00:00:00,24.063748872226864,1,2025-08-14,D4,danger,exit,24.063748872226864,22.632304003621726,22.86443019853067,22.13864896244872,-0.04983922829581988,
508,sz300689,2025-08-07 00:00:00,60.89307285331378,4,2025-08-14,D4,danger,exit,60.60334371258431,56.94676214337794,56.94676214337794,56.02162702504868,-0.06480721903199349,
509,sz301161,2025-08-07 00:00:00,38.800525085768896,1,2025-08-12,E1,exhaustion,reduce,39.56639035918705,37.80589486055052,38.661276854238324,35.696483078907384,-0.0035888233786208756,
510,bj920879,2025-08-08 00:00:00,24.109303297440245,3,2025-08-21,D4,danger,exit,24.512358862631164,23.097551572573256,23.138679691470287,22.180559033645025,-0.04025929716820198,
511,bj920174,2025-08-08 00:00:00,64.98,4,2025-08-22,D4,danger,exit,63.89,61.68,62.58,59.781600000000005,-0.03693444136657442,
512,sz300732,2025-08-08 00:00:00,11.81,1,2025-08-12,D4,danger,exit,12.07,11.35,11.37,10.865200000000002,-0.037256562235393864,
513,sh600326,2025-08-08 00:00:00,16.2,6,2025-08-25,D5,danger,reduce,15.72,15.28,15.41,14.904,-0.04876543209876538,
