signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl
2052,sh603516,2025-08-08,high_trap,3~5%,0.9788,bull_aligned,37.6573,high_trap_skip,,,,,,,,,
2053,sh600475,2025-08-08,high_trap,5~10%,0.856,bull_aligned,11.6741,high_trap_skip,,,,,,,,,
2054,sz002046,2025-08-08,high_trap,5~10%,1.0,bull_aligned,15.4522,high_trap_skip,,,,,,,,,
2055,sz300218,2025-08-08,high_trap,10~15%,0.9011,bull_aligned,13.5362,high_trap_skip,,,,,,,,,
2056,sh603280,2025-08-08,high_zone,>20%,0.7621,bull_aligned,27.2261,simulated,48.925,48.925,7.0,56.723645,43.729165,43.729165,11.0,sl,-0.1062
2057,sh600629,2025-08-08,high_trap,15~20%,0.9073,bull_aligned,8.17,high_trap_skip,,,,,,,,,
2058,sz300706,2025-08-08,high_trap,15~20%,0.934,bull_aligned,21.6066,high_trap_skip,,,,,,,,,
2059,sz300322,2025-08-08,high_trap,15~20%,0.8736,bull_aligned,13.5857,high_trap_skip,,,,,,,,,
2060,sh600326,2025-08-08,high_zone,>20%,0.7345,bull_aligned,9.8721,simulated,15.029,15.029,4.0,17.4246226,13.4329202,17.4246226,5.0,tp,0.1594
2061,bj920199,2025-08-08,main_wave,3~5%,0.5528,neutral,28.8184,observe_expire,34.5999,,,,,,,observe_expire,
2062,sh601089,2025-08-08,high_trap,>20%,0.8812,bull_aligned,17.5237,high_trap_skip,,,,,,,,,
2063,sh688551,2025-08-08,high_trap,10~15%,0.98,bull_aligned,21.2287,high_trap_skip,,,,,,,,,
2064,bj920438,2025-08-11,high_trap,5~10%,0.8587,bull_aligned,17.2323,high_trap_skip,,,,,,,,,
2065,bj920247,2025-08-11,main_wave,5~10%,0.6469,bull_aligned,14.2629,observe_expire,21.43031583,,,,,,,observe_expire,
2066,sh601089,2025-08-11,high_trap,>20%,0.9762,bull_aligned,18.0176,high_trap_skip,,,,,,,,,
2067,sh688551,2025-08-11,high_trap,15~20%,1.0,bull_aligned,21.0614,high_trap_skip,,,,,,,,,
2068,sh603716,2025-08-11,high_zone,10~15%,0.7668,neutral,18.9667,observe_expire,26.22,,,,,,,observe_expire,
2069,sh688189,2025-08-11,main_wave,15~20%,0.6662,bull_aligned,7.998,observe_expire,12.888,,,,,,,observe_expire,
2070,sz300436,2025-08-11,high_trap,15~20%,0.9112,bull_aligned,52.1193,high_trap_skip,,,,,,,,,
2071,sz300400,2025-08-11,high_trap,5~10%,0.9203,bull_aligned,15.2601,high_trap_skip,,,,,,,,,
2072,sh603516,2025-08-11,high_trap,3~5%,0.9479,bull_aligned,39.7099,high_trap_skip,,,,,,,,,
